Avg.Latency,Avg.Packetloss,misc_fact1,misc_fact2,misc_fact3,misc_fact4,misc_fact5,sw_fact1,sw_fact2,sw_fact3,sw_fact4,Domain Regn. date,Domain Existance date,Orgn.Regn.date,Avg.Throughput,hw_fact1,hw_fact2,hw_fact3,Sum_Desc
93,2.61651207051503,Compatiable,AuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2000-06-27,2001-08-20,2000-05-19,25.0672557696161,Hardwarecompatiability,GoodRouter,ReasonableDevices,NoAnomaly
512,0.757414573482592,InCompatiable,AuthorizedAccess,OverSubscription,GoodDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2007-11-16,2009-08-30,2007-09-12,91.1157435111124,Hardwarecompatiability,OutdatedRouter,ManyDevices,AnomLikely
759,2.36880766748562,Compatiable,UnAuthorizedAccess,ReasonableSubscription,PoorDesign,ProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2015-01-04,2016-09-24,2013-02-22,20.707927051356,Hardwarecompatiability,GoodRouter,ReasonableDevices,AnomLikely
618,0.021601667375064,InCompatiable,UnAuthorizedAccess,OverSubscription,GoodDesign,ProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2003-11-03,2004-12-29,2003-08-16,59.5071300032175,HardwareIncompatiability,GoodRouter,ManyDevices,AnomMostLikely
419,2.42498599814884,InCompatiable,UnAuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2002-09-03,2003-06-12,2000-11-25,23.402227534084,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomMostLikely
664,0.008229110608185,InCompatiable,UnAuthorizedAccess,OverSubscription,GoodDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2011-12-13,2013-03-13,2011-08-14,83.021072530373,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
54,0.37420648966346,Compatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,DefinedFileLimits,ProperFirewalls,2014-03-18,2015-06-28,2013-10-05,21.3618123294205,Hardwarecompatiability,OutdatedRouter,ManyDevices,NoAnomaly
361,2.02854269802822,InCompatiable,UnAuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2010-12-28,2012-04-21,2010-11-26,93.536178916809,HardwareIncompatiability,GoodRouter,ManyDevices,AnomLikely
83,2.69171708007843,InCompatiable,AuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2008-06-15,2009-12-12,2006-11-03,84.7964404406709,Hardwarecompatiability,GoodRouter,ReasonableDevices,AnomLikely
732,0.311310963382178,InCompatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2008-11-21,2010-03-07,2008-01-24,102.05633916346,HardwareIncompatiability,GoodRouter,ReasonableDevices,AnomMostLikely
633,2.87268260308477,Compatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2004-06-08,2005-08-15,2003-12-26,17.8222069844645,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
35,0.445657068444943,InCompatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,1999-12-15,2001-01-18,1998-10-27,138.865402955322,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
179,0.655196673468243,Compatiable,AuthorizedAccess,OverSubscription,GoodDesign,ProneToHackers,CommonProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2004-05-07,2006-03-09,2002-07-26,142.951755152434,Hardwarecompatiability,GoodRouter,ReasonableDevices,NoAnomaly
530,1.81116775687264,Compatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2010-06-10,2011-10-28,2009-07-05,110.561456627144,HardwareIncompatiability,GoodRouter,ReasonableDevices,AnomLikely
638,1.49876933319484,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,PoorDesign,ProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2009-12-02,2009-12-17,2008-11-23,103.424605013197,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
658,0.403705625489635,InCompatiable,AuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2002-11-28,2003-07-13,2002-02-03,65.7738266735141,HardwareIncompatiability,GoodRouter,ManyDevices,AnomLikely
715,2.99682044382313,Compatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2005-05-01,2006-05-13,2005-04-20,187.271132261742,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
654,1.45401357345514,Compatiable,AuthorizedAccess,OverSubscription,GoodDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2004-05-04,2006-02-17,2002-11-06,148.728056149342,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
